,back,nasal,pause,phoneme,stop,strident,time,vocalic
0,0.07145958,0.01800269,0.9352636,p,0.5402161,0.09833237,0.0,0.051404864
1,0.045792364,0.0043835854,0.9315045,p,0.6521192,0.075421736,0.01,0.019017192
2,0.04832925,0.002216646,0.88749933,p,0.814767,0.07267422,0.02,0.012664783
3,0.064052194,0.0058588497,0.6713424,p,0.9467721,0.06921161,0.03,0.019131064
4,0.22331357,0.012505289,0.25018525,p,0.96937054,0.044915307,0.04,0.087317035
5,0.61209095,0.016116813,0.016838534,p,0.92899907,0.052053694,0.05,0.44417933
6,0.8345128,0.023614107,0.0035410698,p,0.7969514,0.033266272,0.06,0.7361739
7,0.93395686,0.028941393,0.0022237643,p,0.57442534,0.017966168,0.07,0.8545992
8,0.974408,0.03396511,0.002314049,p,0.24581347,0.010074877,0.08,0.9355507
9,0.9853018,0.037143495,0.0025198825,a,0.09913461,0.007954391,0.09,0.9671221
10,0.98725384,0.047314145,0.0018132809,a,0.047853928,0.006466991,0.1,0.9752147
11,0.98716366,0.067202784,0.0013477139,a,0.032102633,0.00695608,0.11,0.9765673
12,0.9874493,0.094276,0.0012812909,a,0.024817573,0.00813536,0.12,0.9757454
13,0.9885988,0.090731144,0.0008190349,a,0.019221582,0.0076097036,0.13,0.9778246
14,0.99020725,0.06335639,0.00046543576,a,0.01572396,0.0059049134,0.14,0.98152256
15,0.98757255,0.049681608,0.00040825384,a,0.015690904,0.0073080445,0.15,0.97772014
16,0.97704667,0.04641863,0.0008068567,a,0.019724917,0.017712539,0.16,0.9600795
17,0.9661184,0.051042486,0.0026919164,a,0.03609693,0.040140826,0.17,0.93848294
18,0.949967,0.037419524,0.010017959,a,0.11130308,0.061702583,0.18,0.9015147
19,0.85592765,0.020473383,0.08432571,a,0.42572626,0.07294436,0.19,0.7908576
20,0.6820078,0.010110181,0.26903066,a,0.66662705,0.09616204,0.2,0.5644766
21,0.6283656,0.006663251,0.3781583,a,0.7193564,0.08921084,0.21,0.50472397
22,0.57827586,0.0058332565,0.3789538,a,0.75405604,0.07586148,0.22,0.4736748
23,0.5056327,0.005533459,0.37512773,t,0.7884553,0.06965912,0.23,0.41491693
24,0.41779664,0.0063249255,0.3723484,t,0.83947456,0.07132282,0.24,0.33727485
25,0.29810143,0.010313249,0.34781957,t,0.9049834,0.06874688,0.25,0.18864454
26,0.120283626,0.013087577,0.23098171,t,0.9672486,0.032798227,0.26,0.055319075
27,0.02809007,0.012432587,0.051167887,t,0.9936719,0.007482241,0.27,0.019881576
28,0.045950104,0.012368246,0.028471973,t,0.9928341,0.004980544,0.28,0.03680255
29,0.55262035,0.0059436522,0.006596811,t,0.9305268,0.0082506705,0.29,0.36693797
30,0.9552005,0.00382583,0.002248259,a,0.44095397,0.008163982,0.3,0.91186816
31,0.9900658,0.0063752136,0.0012426398,a,0.05907695,0.0036435942,0.31,0.9758093
32,0.9942101,0.0096563725,0.00056785747,a,0.023052674,0.0031101734,0.32,0.9866585
33,0.9932221,0.024833055,0.00044796255,a,0.025540903,0.006137752,0.33,0.9853645
34,0.9907731,0.052158713,0.00048787455,a,0.037094217,0.0098766005,0.34,0.9780636
35,0.9887262,0.06437144,0.00052397343,a,0.05373715,0.017555011,0.35000000000000003,0.9725471
36,0.9924809,0.04359304,0.0003258801,a,0.037997928,0.009880472,0.36,0.9815517
37,0.99355006,0.03742284,0.00037185132,a,0.030966971,0.00741665,0.37,0.9843091
38,0.98910964,0.056394547,0.00050441,a,0.051068604,0.01060982,0.38,0.97350717
39,0.970378,0.10696034,0.00047149157,a,0.10950175,0.020348893,0.39,0.93638533
40,0.8930296,0.28178632,0.04879006,x,0.16827248,0.12439834,0.4,0.8532088
41,0.8457683,0.14709125,0.22785248,x,0.47924733,0.18140408,0.41000000000000003,0.7068532
42,0.7124318,0.07182268,0.28892672,x,0.7805105,0.13591544,0.42,0.4913164
43,0.5393971,0.0464996,0.33918408,k,0.85861814,0.12222399,0.43,0.3292807
44,0.4551779,0.037140362,0.27895024,k,0.9016223,0.077513635,0.44,0.2806514
45,0.37810665,0.031168133,0.18296088,k,0.9351741,0.04307759,0.45,0.22055414
46,0.22998047,0.027679248,0.086877026,k,0.9662293,0.023399875,0.46,0.12238967
47,0.15591615,0.01930032,0.018021101,k,0.9838134,0.0097142365,0.47000000000000003,0.08383543
48,0.14397198,0.01227257,0.0061840806,k,0.9867677,0.0076963934,0.48,0.08661736
49,0.14442848,0.010247239,0.0033796513,k,0.9854696,0.007855487,0.49,0.0944861
50,0.27555504,0.015570209,0.002352472,k,0.9672144,0.013393554,0.5,0.15326956
51,0.78732777,0.019016564,0.000681003,k,0.69755465,0.02019145,0.51,0.5675389
52,0.96300143,0.024874719,0.00014297017,a,0.06515197,0.0066828025,0.52,0.92060167
53,0.98705626,0.030858228,8.762541e-05,a,0.019512538,0.0023172065,0.53,0.97190934
54,0.9911384,0.037744295,0.00011295915,a,0.014548112,0.0028622798,0.54,0.9827329
55,0.993145,0.03723837,0.00012329132,a,0.011377246,0.0037397367,0.55,0.98781735
56,0.9929428,0.039442234,0.00026749837,a,0.0105798645,0.010364409,0.56,0.9871465
57,0.98311424,0.086384065,0.0014505016,a,0.044436667,0.054066118,0.5700000000000001,0.9566817
58,0.9529583,0.08687883,0.011312213,p,0.25477445,0.10149794,0.58,0.8867382
59,0.9129829,0.053027462,0.06124842,p,0.44947663,0.1634393,0.59,0.76480454
60,0.85558283,0.018236998,0.15540625,p,0.55893326,0.12843059,0.6,0.671225
61,0.8130644,0.0060564172,0.32030618,p,0.5705586,0.09457149,0.61,0.6222146
62,0.77588665,0.0030275327,0.4183322,p,0.57027775,0.08474971,0.62,0.5955859
63,0.7248328,0.0017702786,0.520871,p,0.5721261,0.09006976,0.63,0.5403962
64,0.6368656,0.00182864,0.5331218,p,0.6864227,0.08687835,0.64,0.44954354
65,0.48507193,0.0016840126,0.5777049,p,0.7806007,0.0785901,0.65,0.29046887
66,0.33226675,0.0022689677,0.48111373,p,0.9050536,0.07929245,0.66,0.13475287
67,0.11625921,0.0030028836,0.28356218,p,0.9779286,0.08993338,0.67,0.031531993
68,0.046453457,0.0060927994,0.07586932,p,0.9914102,0.067129925,0.68,0.018351985
69,0.24532656,0.009788293,0.004691296,p,0.98268247,0.06356857,0.6900000000000001,0.092467085
70,0.5264889,0.019748216,0.0007991735,p,0.94345975,0.06872583,0.7000000000000001,0.33047327
71,0.70190424,0.033862595,0.00039602933,p,0.8849688,0.049871374,0.71,0.5008032
72,0.77831095,0.042413916,0.00050910626,p,0.8239182,0.0364117,0.72,0.5922485
73,0.81827176,0.045000296,0.00082508294,p,0.76544124,0.026780503,0.73,0.6419029
74,0.8641619,0.04997435,0.0012683675,a,0.62172204,0.019050455,0.74,0.7278558
75,0.92023474,0.05468852,0.0017217876,a,0.39491004,0.012976003,0.75,0.84889424
76,0.95989907,0.05883706,0.0017536633,a,0.1799477,0.008179403,0.76,0.9330212
77,0.96904993,0.061477143,0.0036171714,a,0.11153506,0.01318156,0.77,0.9487889
78,0.969243,0.062476333,0.0026960261,a,0.10272735,0.018725634,0.78,0.948291
79,0.9591687,0.08395336,0.0011650155,a,0.102944784,0.026313037,0.79,0.9267302
80,0.9501646,0.1944606,0.0014757533,a,0.064486645,0.01842151,0.8,0.9321593
81,0.95034176,0.13391307,0.0074095763,a,0.067191124,0.021345984,0.81,0.92281157
82,0.93360573,0.081915505,0.032471728,a,0.19610989,0.04548631,0.8200000000000001,0.86855936
83,0.872626,0.029413728,0.13133581,a,0.5171361,0.07366079,0.8300000000000001,0.7183226
84,0.82394904,0.020475345,0.20456809,p,0.65511703,0.072704025,0.84,0.6315939
85,0.8059272,0.013326101,0.2533916,p,0.6999154,0.054749023,0.85,0.6166179
86,0.7841033,0.010721393,0.20289636,p,0.72641826,0.05419849,0.86,0.612663
87,0.7278925,0.010154051,0.18669681,p,0.76995987,0.052671727,0.87,0.5614297
88,0.6633601,0.011448093,0.17344025,p,0.8140036,0.046768095,0.88,0.48423472
89,0.5639889,0.011211739,0.1865645,p,0.8717015,0.04259922,0.89,0.36539915
90,0.3270048,0.013667554,0.16181755,t,0.940835,0.03400571,0.9,0.16495104
91,0.19465664,0.014443629,0.04994851,t,0.97542894,0.013624103,0.91,0.08896749
92,0.3026748,0.012454146,0.015691228,t,0.96479535,0.013305495,0.92,0.1696873
93,0.76281816,0.008073584,0.005598867,a,0.78503436,0.013761839,0.93,0.6462975
94,0.9403315,0.008876996,0.0024919275,a,0.3413447,0.00989969,0.9400000000000001,0.8964946
95,0.97156245,0.012888596,0.0022905879,a,0.11091935,0.008056693,0.9500000000000001,0.9413331
96,0.9816745,0.025785577,0.0012218009,a,0.050144248,0.007797558,0.96,0.9619951
97,0.98339397,0.050979327,0.00087387295,a,0.041217547,0.008846837,0.97,0.9653184
98,0.9841822,0.076261394,0.0005105226,a,0.038225472,0.009256295,0.98,0.96715254
99,0.99089515,0.056087986,0.00033552793,a,0.025828302,0.007398145,0.99,0.97941464
100,0.99371004,0.038021065,0.00027997757,a,0.01894618,0.0059771426,1.0,0.9854989
101,0.9923711,0.0362542,0.00050078006,a,0.016337775,0.009918441,1.01,0.9848588
102,0.9885744,0.043572266,0.000987948,a,0.021943115,0.020813895,1.02,0.9762453
103,0.968411,0.07086703,0.015525832,a,0.076389186,0.065982305,1.03,0.92867213
104,0.9053848,0.057152376,0.12386777,a,0.3159585,0.14163461,1.04,0.8014156
105,0.80989546,0.021781752,0.28915846,k,0.52105767,0.19544904,1.05,0.65830916
106,0.7103906,0.011692718,0.43592554,k,0.6030476,0.16591392,1.06,0.55441964
107,0.61457705,0.007185674,0.41322553,k,0.6668383,0.15216236,1.07,0.4547929
108,0.55849147,0.0062103467,0.3905255,k,0.7602871,0.13772883,1.08,0.37564346
109,0.47051698,0.0062520425,0.26197606,k,0.8565957,0.122241385,1.09,0.29360193
110,0.41011116,0.023339568,0.10890863,k,0.9184187,0.06157117,1.1,0.29139742
111,0.41402522,0.02462313,0.01723208,k,0.9531635,0.020973857,1.11,0.26715252
112,0.27551484,0.016806,0.010158417,k,0.97194594,0.01580376,1.12,0.17548312
113,0.21521686,0.015233249,0.008137441,k,0.9760021,0.019813918,1.1300000000000001,0.13494976
114,0.67905635,0.0233441,0.0048885318,k,0.8756433,0.040930185,1.1400000000000001,0.50946575
115,0.9451921,0.033874243,0.0019064331,a,0.32302937,0.019324437,1.1500000000000001,0.89266855
116,0.9752989,0.04864965,0.00086896983,a,0.052416112,0.009287124,1.16,0.9599619
117,0.9836167,0.07759986,0.0012246455,a,0.043113768,0.012582823,1.17,0.9669804
118,0.9813322,0.1204065,0.0005932087,a,0.07412016,0.015522058,1.18,0.95990324
119,0.97282445,0.17174914,0.000674374,a,0.13005562,0.022717932,1.19,0.93653774
120,0.91660583,0.20271723,0.07602171,a,0.18859786,0.079663575,1.2,0.83951646
121,0.8503784,0.080887526,0.26920366,p,0.36682928,0.13037825,1.21,0.68328
122,0.810289,0.04663535,0.31057906,p,0.56160265,0.13652539,1.22,0.60494304
123,0.7774108,0.029365,0.4031707,p,0.65659237,0.1173149,1.23,0.57007253
124,0.75410676,0.021890644,0.40081677,p,0.73254055,0.09921308,1.24,0.5421873
125,0.71962565,0.015597881,0.4230945,p,0.7710472,0.09768619,1.25,0.50475836
126,0.65519243,0.013431571,0.43063402,p,0.81007326,0.10343473,1.26,0.4285531
127,0.4957028,0.011023146,0.4763525,p,0.86574775,0.10938033,1.27,0.25642735
128,0.28583226,0.010943696,0.38816106,p,0.9363869,0.12104244,1.28,0.1047191
129,0.12494767,0.016244952,0.16618466,p,0.97575945,0.1072316,1.29,0.045732647
130,0.20607889,0.024171855,0.02297196,p,0.97904944,0.07579787,1.3,0.07822794
131,0.49494475,0.028353032,0.0013558154,p,0.9519539,0.07508404,1.31,0.29893318
132,0.6934043,0.035809264,0.00019976628,p,0.88714236,0.04633674,1.32,0.49923018
133,0.8612173,0.040774424,0.00025242247,p,0.71392167,0.028568158,1.33,0.7311167
134,0.92568934,0.03750251,0.00037705983,p,0.47216794,0.01849429,1.34,0.8424441
135,0.93685144,0.07086736,0.0005925758,a,0.2309232,0.011761077,1.35,0.88167316
136,0.9365764,0.18257919,0.0007254387,a,0.091459155,0.010549623,1.36,0.8887483
137,0.93901026,0.27729133,0.00043057682,a,0.06153599,0.013145041,1.37,0.89491785
138,0.949281,0.1725381,0.00037888813,a,0.037690043,0.012590829,1.3800000000000001,0.9365691
139,0.96078914,0.067215264,0.00034708975,a,0.017489005,0.013544438,1.3900000000000001,0.96435636
140,0.9577622,0.055899467,0.0006875163,a,0.016520381,0.034390107,1.4000000000000001,0.9602974
141,0.9442065,0.06596481,0.00257486,a,0.06996235,0.06450058,1.41,0.92183065
142,0.8752652,0.07303361,0.023919752,a,0.448821,0.08779239,1.42,0.7609183
143,0.67889035,0.036182955,0.13407932,a,0.7622154,0.116021104,1.43,0.48426244
144,0.5548544,0.018347578,0.20122442,a,0.84385484,0.11232762,1.44,0.3380237
145,0.48076162,0.014457293,0.22309364,t,0.8854812,0.10729075,1.45,0.25176358
146,0.37888333,0.013730544,0.22169907,t,0.91987926,0.0959078,1.46,0.1710478
147,0.2812042,0.014290749,0.19216378,t,0.9473637,0.0745222,1.47,0.11601191
148,0.13401376,0.013678466,0.1061924,t,0.97599775,0.034883622,1.48,0.066342615
149,0.03408121,0.008805972,0.021978095,t,0.9942662,0.0088063385,1.49,0.026170002
150,0.025590207,0.0075688693,0.011443714,t,0.99579334,0.005619408,1.5,0.021206517
151,0.08757657,0.008315787,0.0048825834,t,0.99232715,0.006709641,1.51,0.064285055
152,0.5355092,0.0073069166,0.0017776917,t,0.9448347,0.01418067,1.52,0.35591775
153,0.94585806,0.00599344,0.0008168681,a,0.5155423,0.012592363,1.53,0.8860436
154,0.9854418,0.009153715,0.00072050083,a,0.065538354,0.006605197,1.54,0.9693299
155,0.9878968,0.016210664,0.0007240004,a,0.027946003,0.004987563,1.55,0.9760602
156,0.98255193,0.035825755,0.0006509182,a,0.04423939,0.010890029,1.56,0.96342623
157,0.97343296,0.04756536,0.00076528604,a,0.08294506,0.024957608,1.57,0.9469314
158,0.9760271,0.041339926,0.0008056828,a,0.09165253,0.023000631,1.58,0.94760525
159,0.9705784,0.052733548,0.000544087,a,0.10778054,0.020356636,1.59,0.9392281
160,0.9629721,0.17244218,0.00056898105,a,0.038928173,0.009604711,1.6,0.9503167
161,0.9689123,0.08049412,0.003334583,a,0.039656077,0.043401934,1.61,0.95617473
162,0.92512286,0.08958919,0.04927018,a,0.40832284,0.114073604,1.62,0.826984
163,0.80672467,0.05364537,0.13092858,k,0.79351914,0.12552376,1.6300000000000001,0.59251493
164,0.6340194,0.030825825,0.16940442,k,0.87793285,0.1051928,1.6400000000000001,0.4147392
165,0.41465932,0.018674836,0.1577339,k,0.9372052,0.05779926,1.6500000000000001,0.2416164
166,0.37501538,0.011714232,0.04177807,k,0.9623899,0.02763825,1.6600000000000001,0.21334198
167,0.29985553,0.006055733,0.026880212,k,0.9723183,0.026970705,1.67,0.17025185
168,0.16891684,0.00411845,0.03669239,k,0.97485274,0.05024229,1.68,0.08660066
169,0.10095667,0.0044981744,0.025893351,k,0.9804822,0.06076435,1.69,0.046593323
170,0.26206794,0.013988991,0.009331742,k,0.9744761,0.098327495,1.7,0.11039883
171,0.80867654,0.02091789,0.005243975,k,0.8371682,0.1447749,1.71,0.584691
172,0.9607115,0.028810594,0.0017121842,a,0.20306769,0.04381929,1.72,0.90425783
173,0.988025,0.021921532,0.0015702777,a,0.029226944,0.009522414,1.73,0.9736736
174,0.9930108,0.017903084,0.00089452736,a,0.013152824,0.0047329334,1.74,0.9847061
175,0.99414283,0.024046266,0.00050023384,a,0.013591824,0.003937219,1.75,0.9852614
176,0.989407,0.05643679,0.0008420953,a,0.024376648,0.011210527,1.76,0.97541237
177,0.9778374,0.118534684,0.0019545327,a,0.06275624,0.03370266,1.77,0.9446343
178,0.9476838,0.15731123,0.009263942,a,0.26558828,0.06686088,1.78,0.873298
179,0.8433441,0.17009865,0.11056064,p,0.49167606,0.14219384,1.79,0.6960269
180,0.72071415,0.0694571,0.31990483,p,0.5807788,0.19517896,1.8,0.52361417
181,0.6413021,0.021665426,0.5081168,p,0.5912054,0.18781085,1.81,0.4406493
182,0.55835927,0.009490293,0.64328957,p,0.5940085,0.17782813,1.82,0.37436512
183,0.494714,0.0056862035,0.6975075,p,0.64061135,0.18171073,1.83,0.31453234
184,0.41876665,0.005029043,0.6617238,p,0.74450064,0.18593204,1.84,0.24972093
185,0.29306293,0.004117718,0.62956166,p,0.84920573,0.19663781,1.85,0.13757901
186,0.1800101,0.0052243215,0.4864875,p,0.93822145,0.16912171,1.86,0.06659892
187,0.076681,0.010309522,0.23100173,p,0.97906405,0.11579043,1.87,0.030499868
188,0.11689899,0.0131881125,0.040018763,p,0.9862389,0.076693326,1.8800000000000001,0.046922654
189,0.39674497,0.014038512,0.0020281447,p,0.96123374,0.0989434,1.8900000000000001,0.19976291
190,0.6462289,0.01733174,0.00036352765,p,0.8911582,0.07329519,1.9000000000000001,0.44790047
191,0.84309924,0.021502884,0.00035592567,p,0.7257111,0.050023634,1.9100000000000001,0.72199035
192,0.9142952,0.022705687,0.0008685907,p,0.5138745,0.03702631,1.92,0.8356071
193,0.9391663,0.033835564,0.0019348135,a,0.29083842,0.0258786,1.93,0.88556355
194,0.96464115,0.046456043,0.0018139594,a,0.11104606,0.013250537,1.94,0.94240206
195,0.9801476,0.047439754,0.0009385058,a,0.04747436,0.008182935,1.95,0.9694243
196,0.98265475,0.043239295,0.0007154738,a,0.031846005,0.007958417,1.96,0.97676986
197,0.9774055,0.056516495,0.00054860837,a,0.031556886,0.010026536,1.97,0.96970147
198,0.9553269,0.10418929,0.00043616307,a,0.06897384,0.02134205,1.98,0.92953074
199,0.9221484,0.17861432,0.0014598296,a,0.17554373,0.06181176,1.99,0.8485625
200,0.84261966,0.4492722,0.032839805,a,0.26499608,0.1024224,2.0,0.7534155
201,0.7162507,0.28589088,0.1588386,t,0.6368368,0.064235136,2.0100000000000002,0.58475125
202,0.50885856,0.19832341,0.25477475,t,0.8443581,0.05241014,2.02,0.34062758
203,0.4287439,0.103073105,0.27569506,t,0.8989405,0.03965428,2.0300000000000002,0.26471972
204,0.34826213,0.069116995,0.27348605,t,0.9232441,0.038035043,2.04,0.21177845
205,0.27515417,0.056178447,0.25694305,t,0.94613403,0.03251484,2.05,0.15431099
206,0.11591829,0.042090084,0.17305684,t,0.9739898,0.019191839,2.06,0.059589587
207,0.04964931,0.028198477,0.031789005,t,0.99137515,0.0055767936,2.07,0.035633367
208,0.065286495,0.018809248,0.014710026,t,0.99170274,0.004844173,2.08,0.045239784
209,0.32158068,0.014237837,0.006839588,t,0.974608,0.009378391,2.09,0.20202312
210,0.861974,0.009160162,0.00317344,a,0.72322744,0.012671086,2.1,0.7636113
211,0.9793137,0.016804704,0.0023504805,a,0.11876774,0.0064101927,2.11,0.9550562
212,0.9881335,0.03573881,0.0011256904,a,0.03095202,0.004085661,2.12,0.9743927
213,0.9858891,0.09206127,0.00077154656,a,0.025651673,0.0055442513,2.13,0.9689053
214,0.975128,0.20993467,0.0003887415,a,0.037724372,0.008724439,2.14,0.94293296
215,0.95940965,0.2564781,0.0005217888,a,0.055608045,0.012971315,2.15,0.91962934
216,0.96385676,0.17842816,0.0011246352,a,0.06617426,0.015163207,2.16,0.9308622
217,0.9716551,0.09380637,0.0020135408,a,0.06274545,0.01893102,2.17,0.94485563
218,0.97191894,0.050413776,0.003350632,a,0.07403825,0.028375491,2.18,0.9497088
219,0.9611342,0.042786974,0.0063685775,a,0.16810282,0.044983484,2.19,0.92781454
220,0.91118103,0.059698056,0.04092049,k,0.5615065,0.06956816,2.2,0.7734906
221,0.562887,0.026536312,0.2410482,k,0.8698702,0.11177916,2.21,0.30943504
222,0.23456037,0.011614663,0.29080635,k,0.93832797,0.09962404,2.22,0.108547315
223,0.14357013,0.006803728,0.20035334,k,0.96860147,0.0388639,2.23,0.07489086
224,0.07845328,0.0036180632,0.061655913,k,0.98814964,0.011459075,2.24,0.040315636
225,0.063407816,0.002324329,0.007054119,k,0.99569535,0.0030559103,2.25,0.030024756
226,0.066284046,0.0018411577,0.0036186443,k,0.99670416,0.0024189926,2.2600000000000002,0.030302064
227,0.060760595,0.0019915125,0.0045788772,k,0.99600756,0.0032370707,2.27,0.025786804
228,0.09419703,0.004056389,0.0061964896,k,0.9929877,0.0062739025,2.2800000000000002,0.04037072
229,0.43169364,0.012109161,0.003168427,k,0.96305317,0.019853966,2.29,0.21216713
230,0.94631696,0.010594248,0.00159234,a,0.3654972,0.009798207,2.3000000000000003,0.8546711
231,0.9907969,0.010800486,0.0011654751,a,0.024392746,0.0029954752,2.31,0.9799571
232,0.99468,0.01425886,0.000886482,a,0.013919818,0.002250594,2.32,0.98851854
233,0.99439335,0.0313454,0.0007799337,a,0.018772077,0.004786478,2.33,0.9864976
234,0.9904993,0.071304016,0.00078673277,a,0.03882422,0.010880173,2.34,0.97577477
235,0.9816102,0.1314601,0.0010461445,a,0.081519805,0.022702266,2.35,0.95059365
236,0.969027,0.1729566,0.0044965185,a,0.2043838,0.052769024,2.36,0.9167682
237,0.9299072,0.13904881,0.041916743,a,0.39510694,0.21524894,2.37,0.847531
238,0.7852432,0.08050969,0.30889738,p,0.58837813,0.35200417,2.38,0.64394134
239,0.64190596,0.06267631,0.5238844,p,0.64115924,0.3324171,2.39,0.4996637
240,0.532104,0.035270024,0.83118314,p,0.58163536,0.0783197,2.4,0.31266025
241,0.4652473,0.01291477,0.8568381,p,0.5221114,0.054706864,2.41,0.26492044
242,0.3999749,0.0074345036,0.8419284,p,0.6367705,0.04365816,2.42,0.21256801
243,0.32571852,0.0067119803,0.7401205,p,0.8034354,0.03458392,2.43,0.12029069
244,0.12754829,0.0075636776,0.5485014,p,0.95480984,0.036883336,2.44,0.038089998
245,0.05935837,0.0072024227,0.26420814,p,0.9849165,0.032885984,2.45,0.018484313
246,0.20892912,0.009879063,0.055891436,p,0.9817877,0.035653345,2.46,0.08381489
247,0.6494725,0.011288818,0.0051648715,p,0.9256083,0.043841667,2.47,0.45896736
248,0.9052911,0.018372346,0.0028015769,p,0.6405885,0.01880572,2.48,0.78817207
249,0.9645658,0.024540972,0.0038432796,p,0.24902442,0.013617939,2.49,0.9125114
250,0.97071326,0.063001245,0.0032381848,a,0.09929988,0.012887482,2.5,0.9363921
251,0.96405745,0.13814214,0.0025287168,a,0.054796346,0.012229518,2.5100000000000002,0.93713015
252,0.9562592,0.13151112,0.003559338,a,0.05698826,0.02208457,2.52,0.92648673
253,0.9483425,0.08528143,0.004313459,a,0.052225355,0.033795066,2.5300000000000002,0.9152024
254,0.94683576,0.059873007,0.0049244077,a,0.044983726,0.053678554,2.54,0.9266565
255,0.9435376,0.053280022,0.007132115,a,0.06836727,0.07032899,2.5500000000000003,0.92471474
256,0.91236156,0.04543459,0.015786562,a,0.30726895,0.067177,2.56,0.8485146
257,0.62550074,0.019564066,0.15170705,a,0.74283725,0.07340861,2.57,0.49568653
258,0.41494465,0.014273607,0.2751873,a,0.8684434,0.06710361,2.58,0.23175108
259,0.3359721,0.009814806,0.33273745,t,0.90324354,0.057559952,2.59,0.16155782
260,0.30887923,0.008190423,0.33184314,t,0.91708034,0.053249486,2.6,0.15243496
261,0.21514644,0.00913398,0.31527954,t,0.9407594,0.05268536,2.61,0.111797154
262,0.15176107,0.010110348,0.27669334,t,0.95913815,0.042771757,2.62,0.07111008
263,0.07157374,0.010401019,0.19110359,t,0.9791235,0.021338206,2.63,0.034248095
264,0.026223702,0.009024492,0.031983204,t,0.99456584,0.0051535564,2.64,0.019223139
265,0.041920114,0.009834151,0.012633803,t,0.99390775,0.004157513,2.65,0.03262106
266,0.24658139,0.010463406,0.005139294,t,0.9790035,0.0068040085,2.66,0.16178535
267,0.78340393,0.0072285538,0.002172397,a,0.8197668,0.009880756,2.67,0.6717923
268,0.96440923,0.0114390105,0.003282139,a,0.2205415,0.007082941,2.68,0.9250298
269,0.9858466,0.023619225,0.0028294995,a,0.04709433,0.005265549,2.69,0.96447396
270,0.98867446,0.031010902,0.0016816796,a,0.029210638,0.0050058793,2.7,0.97371215
271,0.9898747,0.032500412,0.0014798905,a,0.028870579,0.0057655443,2.71,0.9773203
272,0.99056387,0.029564949,0.0016772058,a,0.027944766,0.008817037,2.72,0.97980565
273,0.9867005,0.033812467,0.0038191883,a,0.036861464,0.026883448,2.73,0.9724274
274,0.9792397,0.03872975,0.009733521,a,0.06403095,0.040105518,2.74,0.9536853
275,0.9537418,0.043245062,0.06518342,a,0.14271206,0.07151316,2.75,0.9027068
276,0.8341991,0.03386983,0.45103404,a,0.3721872,0.29066646,2.7600000000000002,0.6492257
277,0.6211906,0.01841858,0.77247095,a,0.4565491,0.29870546,2.77,0.4048037
278,0.43875766,0.015466289,0.86215806,p,0.49604803,0.24829875,2.7800000000000002,0.24108915
279,0.37263033,0.023296991,0.86000556,p,0.58124006,0.24317855,2.79,0.19093122
280,0.10696754,0.029394077,0.43250832,k,0.9386708,0.05273587,2.8000000000000003,0.08065722
281,0.06842373,0.014940046,0.3882791,k,0.9648707,0.025051072,2.81,0.047807734
282,0.18819925,0.013818674,0.06582224,k,0.981556,0.0065487917,2.82,0.106726915
283,0.30978635,0.009256134,0.01252838,k,0.9836014,0.00429472,2.83,0.16715562
284,0.24772552,0.005012498,0.006283897,k,0.9872177,0.003427157,2.84,0.14056878
285,0.19862057,0.0046236464,0.0067322166,k,0.98705393,0.004003437,2.85,0.11569606
286,0.31083706,0.009294242,0.008489777,k,0.9747865,0.0070284884,2.86,0.16685356
287,0.8291504,0.027656872,0.014115836,k,0.69372064,0.010958621,2.87,0.6454835
