,back,nasal,pause,phoneme,stop,strident,time,vocalic
0,0.003391024,0.0013605899,0.99922705,<p:>,0.0027505448,0.007341669,0.0,0.002294388
1,0.0014526444,0.00043038718,0.9996406,<p:>,0.0016869644,0.004445937,0.01,0.00088771357
2,0.0010508202,0.00023820737,0.9997433,<p:>,0.0013511388,0.0030702252,0.02,0.0006040461
3,0.0008910431,0.00018471798,0.99977463,<p:>,0.0013398239,0.002628583,0.03,0.0005052174
4,0.0008439597,0.00020510818,0.999765,<p:>,0.0016344246,0.0023662231,0.04,0.00049294106
5,0.0010112445,0.00032381937,0.99969196,<p:>,0.0024853237,0.0023131424,0.05,0.0005965061
6,0.001249209,0.00053697894,0.9995461,<p:>,0.0043564914,0.0025771349,0.06,0.00075622066
7,0.001259939,0.00063192064,0.99942493,<p:>,0.0065556536,0.0031554503,0.07,0.00078922644
8,0.001763671,0.0010380285,0.99896,<p:>,0.015504237,0.0048172353,0.08,0.0011344018
9,0.0022337928,0.0016762383,0.99820256,<p:>,0.038378906,0.0074548684,0.09,0.0015197985
10,0.0022424988,0.002265323,0.9968562,<p:>,0.10333446,0.012960464,0.1,0.0016297835
11,0.005726287,0.061204515,0.9699785,b,0.58517456,0.022021264,0.11,0.0073100575
12,0.034356516,0.7089411,0.28600428,b,0.9263291,0.025739877,0.12,0.089187615
13,0.06860463,0.8729679,0.043775093,b,0.85400707,0.034392584,0.13,0.14202248
14,0.065837786,0.8595002,0.0091189565,b,0.6949025,0.030634226,0.14,0.31140506
15,0.07300654,0.8636107,0.0046358267,b,0.40066278,0.011878615,0.15,0.6120318
16,0.06055076,0.8470369,0.0036077932,b,0.14137723,0.008906222,0.16,0.7516962
17,0.04058385,0.7569126,0.006389559,b,0.07567459,0.016236007,0.17,0.8454974
18,0.016959628,0.4745747,0.008173402,i,0.040400364,0.019642416,0.18,0.92226774
19,0.012011685,0.23669851,0.014077181,i,0.022513015,0.044364937,0.19,0.9527729
20,0.010639594,0.13901918,0.017921407,i,0.01805777,0.084478304,0.2,0.9557514
21,0.016534192,0.121838994,0.07401081,i,0.05084306,0.17390087,0.21,0.93605995
22,0.016674569,0.07959185,0.15036918,x,0.22958116,0.35939696,0.22,0.8510598
23,0.013556,0.051235422,0.22301224,x,0.5816054,0.63620645,0.23,0.60537773
24,0.009597927,0.03505865,0.2674346,x,0.8320394,0.65404356,0.24,0.3404451
25,0.012514967,0.01906193,0.22299859,x,0.9359672,0.6872452,0.25,0.13823509
26,0.015561599,0.007945028,0.15906836,x,0.96434784,0.69130677,0.26,0.06800718
27,0.022649765,0.0046443893,0.08087973,x,0.972328,0.63966733,0.27,0.04789577
